City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Thinadhoo,MV,2021-12-27 23:39:57,0.5333,72.9333,80.42,77,58,10.83
68,Bengkulu,ID,2021-12-27 23:39:58,-3.8004,102.2655,76.05,87,54,4.23
69,Arraial Do Cabo,BR,2021-12-27 23:39:58,-22.9661,-42.0278,71.46,94,75,3.44
70,Glyadyanskoye,RU,2021-12-27 23:39:58,54.9075,65.0883,-7.37,100,17,4.38
71,Norman Wells,CA,2021-12-27 23:39:59,65.282,-126.8329,6.84,72,90,21.85
72,Badiraguato,MX,2021-12-27 23:39:59,25.3667,-107.5167,79.7,38,3,3.04
73,Mount Isa,AU,2021-12-27 23:40:00,-20.7333,139.5,85.77,51,100,6.91
74,San Rafael,AR,2021-12-27 23:37:44,-34.6177,-68.3301,81.82,36,62,19.82
75,Sonoita,MX,2021-12-27 23:40:00,31.85,-112.8333,57.52,59,100,17.05
76,Caravelas,BR,2021-12-27 23:40:01,-17.7125,-39.2481,73.8,96,99,9.15
77,Baculin,PH,2021-12-27 23:40:01,7.4525,126.5842,79.54,81,100,10.0
78,Iowa City,US,2021-12-27 23:35:46,41.6611,-91.5302,35.15,66,1,5.75
79,Severnyy,RU,2021-12-27 23:40:02,50.677,36.5532,1.44,85,34,2.24
80,Kapaa,US,2021-12-27 23:35:12,22.0752,-159.319,82.38,70,20,3.0
81,Severo-Kurilsk,RU,2021-12-27 23:40:03,50.6789,156.125,31.6,94,100,12.1
82,Anito,PH,2021-12-27 23:40:03,12.4497,125.2886,76.98,87,99,17.18
83,Owando,CG,2021-12-27 23:40:04,-0.4819,15.8999,70.99,95,100,2.51
84,Thompson,CA,2021-12-27 23:36:05,55.7435,-97.8558,-12.84,70,90,11.5
85,Batagay-Alyta,RU,2021-12-27 23:40:04,67.8006,130.4114,-20.11,94,98,6.4
86,Hithadhoo,MV,2021-12-27 23:40:05,-0.6,73.0833,81.19,75,88,9.01
87,Busselton,AU,2021-12-27 23:40:05,-33.65,115.3333,81.05,38,31,9.13
88,Hasaki,JP,2021-12-27 23:40:06,35.7333,140.8333,34.2,47,13,19.26
89,Akdepe,TM,2021-12-27 23:40:07,42.0551,59.3788,24.8,82,94,9.1
90,Baykit,RU,2021-12-27 23:40:07,61.67,96.37,-18.98,99,23,2.37
91,Carnot,CF,2021-12-27 23:40:08,4.9409,15.8665,72.88,42,74,2.37
92,Senneterre,CA,2021-12-27 23:41:08,48.3835,-77.2328,5.22,88,100,5.53
93,Mineiros,BR,2021-12-27 23:41:09,-17.5694,-52.5511,74.73,60,52,3.15
94,College,US,2021-12-27 23:41:09,64.8569,-147.8028,19.35,70,75,0.0
95,Ancud,CL,2021-12-27 23:41:10,-41.8697,-73.8203,63.93,85,25,7.63
96,Yerbogachen,RU,2021-12-27 23:41:10,61.2767,108.0108,-17.14,93,94,3.65
97,La Tuque,CA,2021-12-27 23:41:11,47.4334,-72.7824,8.85,72,100,1.14
98,Tuatapere,NZ,2021-12-27 23:41:11,-46.1333,167.6833,58.82,51,100,6.35
99,Atuona,PF,2021-12-27 23:41:12,-9.8,-139.0333,79.68,71,81,18.28
100,East London,ZA,2021-12-27 23:41:12,-33.0153,27.9116,66.97,78,100,13.33
101,Balykshi,KZ,2021-12-27 23:41:13,47.0667,51.8667,28.4,93,75,11.18
102,Nikolskoye,RU,2021-12-27 23:41:13,59.7035,30.7861,3.78,100,89,3.29
103,Dubbo,AU,2021-12-27 23:41:14,-32.25,148.6167,71.73,56,90,18.41
104,Luderitz,NA,2021-12-27 23:41:14,-26.6481,15.1594,63.41,91,18,8.41
105,Merauke,ID,2021-12-27 23:41:15,-8.4667,140.3333,84.83,70,78,12.3
106,Tuy Hoa,VN,2021-12-27 23:39:54,13.0833,109.3,74.14,94,99,13.35
107,Pevek,RU,2021-12-27 23:41:16,69.7008,170.3133,-31.67,100,70,3.91
108,Hovd,MN,2021-12-27 23:41:16,48.0056,91.6419,-2.85,75,53,1.77
109,Longyearbyen,SJ,2021-12-27 23:41:16,78.2186,15.6401,6.64,66,0,9.22
110,Ponta Do Sol,PT,2021-12-27 23:41:17,32.6667,-17.1,65.71,83,38,1.72
111,Lagoa,PT,2021-12-27 23:41:17,39.05,-27.9833,64.56,84,88,26.62
112,Bosaso,SO,2021-12-27 23:41:18,11.2842,49.1816,73.2,76,18,4.63
